country,year,hour_utc,avg_price,indexed
ES,2019,12,48.436,1.0159
ES,2019,13,46.669,0.9788
ES,2019,14,45.675,0.958
ES,2019,15,46.218,0.9694
ES,2019,16,48.057,1.0079
ES,2019,17,50.68,1.063
ES,2019,18,52.884,1.1092
ES,2019,19,53.959,1.1317
ES,2019,20,52.118,1.0931
ES,2019,21,49.508,1.0384
ES,2019,22,48.41,1.0153
ES,2019,23,45.885,0.9624
ES,2020,0,29.717,0.8751
ES,2020,1,28.251,0.8319
ES,2020,2,27.544,0.8111
ES,2020,3,27.898,0.8215
ES,2020,4,30.079,0.8858
ES,2020,5,32.7,0.9629
ES,2020,6,35.161,1.0354
ES,2020,7,36.155,1.0647
ES,2020,8,35.867,1.0562
ES,2020,9,35.389,1.0421
ES,2020,10,35.167,1.0356
ES,2020,11,34.764,1.0237
ES,2020,12,33.849,0.9968
ES,2020,13,32.225,0.9489
ES,2020,14,31.598,0.9305
ES,2020,15,32.631,0.9609
ES,2020,16,35.07,1.0327
ES,2020,17,38.034,1.12
ES,2020,18,40.269,1.1858
ES,2020,19,40.86,1.2032
ES,2020,20,39.294,1.1571
ES,2020,21,36.294,1.0688
ES,2020,22,34.277,1.0094
ES,2020,23,31.922,0.94
ES,2021,0,103.593,0.9254
ES,2021,1,100.131,0.8945
ES,2021,2,97.092,0.8673
ES,2021,3,97.23,0.8686
ES,2021,4,103.746,0.9268
ES,2021,5,111.449,0.9956
ES,2021,6,118.698,1.0603
ES,2021,7,119.748,1.0697
ES,2021,8,116.72,1.0427
ES,2021,9,112.636,1.0062
ES,2021,10,109.41,0.9774
ES,2021,11,107.38,0.9592
ES,2021,12,104.853,0.9367
ES,2021,13,100.382,0.8967
ES,2021,14,99.754,0.8911
ES,2021,15,105.806,0.9452
ES,2021,16,115.627,1.0329
ES,2021,17,126.096,1.1264
ES,2021,18,132.612,1.1846
ES,2021,19,133.107,1.189
ES,2021,20,127.179,1.1361
ES,2021,21,119.106,1.064
ES,2021,22,114.288,1.0209
ES,2021,23,110.035,0.9829
ES,2022,0,158.81,0.9481
ES,2022,1,152.952,0.9131
ES,2022,2,150.079,0.896
ES,2022,3,151.773,0.9061
ES,2022,4,160.812,0.96
ES,2022,5,174.87,1.044
ES,2022,6,183.603,1.0961
ES,2022,7,180.168,1.0756
ES,2022,8,169.408,1.0114
ES,2022,9,158.952,0.9489
ES,2022,10,153.876,0.9186
ES,2022,11,150.979,0.9013
ES,2022,12,145.549,0.8689
ES,2022,13,140.761,0.8403
ES,2022,14,139.503,0.8328
ES,2022,15,146.759,0.8761
ES,2022,16,163.098,0.9737
ES,2022,17,185.832,1.1094
ES,2022,18,207.451,1.2385
ES,2022,19,213.222,1.2729
ES,2022,20,201.785,1.2047
ES,2022,21,184.511,1.1015
ES,2022,22,176.983,1.0566
ES,2022,23,168.391,1.0053
ES,2023,0,84.99,0.9757
ES,2023,1,82.211,0.9438
ES,2023,2,80.082,0.9194
ES,2023,3,81.038,0.9303
ES,2023,4,87.501,1.0045
ES,2023,5,96.12,1.1035
ES,2023,6,101.23,1.1621
ES,2023,7,96.23,1.1047
ES,2023,8,83.637,0.9602
ES,2023,9,73.695,0.846
ES,2023,10,69.155,0.7939
ES,2023,11,66.261,0.7607
ES,2023,12,62.924,0.7224
ES,2023,13,60.313,0.6924
ES,2023,14,61.465,0.7056
ES,2023,15,69.348,0.7961
ES,2023,16,83.369,0.9571
ES,2023,17,102.263,1.174
ES,2023,18,119.241,1.3689
ES,2023,19,122.33,1.4044
ES,2023,20,114.623,1.3159
ES,2023,21,104.335,1.1978
ES,2023,22,97.648,1.121
ES,2023,23,90.528,1.0393
ES,2024,0,64.234,1.0188
ES,2024,1,62.086,0.9847
ES,2024,2,60.315,0.9566
ES,2024,3,60.505,0.9597
