country,year,tech,capacity_mw
FR,2022,Nuclear,61370.0
FR,2022,Other,1156.69
FR,2022,Solar,13153.79
FR,2022,Waste,947.21
FR,2022,Offshore wind,20.0
FR,2022,Onshore wind,19515.54
FR,2023,Biomass,1342.69
FR,2023,Gas,12892.82
FR,2023,Hard coal,1815.81
FR,2023,Oil & other fossil,2565.78
FR,2023,Geothermal,1.85
FR,2023,Hydro pumped (production),5051.05
FR,2023,Hydro run-of-river,11695.29
FR,2023,Hydro reservoir,8787.34
FR,2023,Marine,242.81
FR,2023,Nuclear,61370.0
FR,2023,Other,1145.23
FR,2023,Solar,14638.79
FR,2023,Waste,928.77
FR,2023,Offshore wind,493.5
FR,2023,Onshore wind,20841.9
FR,2024,Biomass,1407.73
FR,2024,Gas,12768.21
FR,2024,Hard coal,1810.71
FR,2024,Oil & other fossil,2970.89
FR,2024,Geothermal,1.85
FR,2024,Hydro pumped (production),5060.73
FR,2024,Hydro run-of-river,11705.69
FR,2024,Hydro reservoir,8791.12
FR,2024,Marine,243.09
FR,2024,Nuclear,61370.0
FR,2024,Other,802.47
FR,2024,Solar,17794.87
FR,2024,Waste,1033.37
FR,2024,Offshore wind,1003.0
FR,2024,Onshore wind,21701.13
FR,2025,Biomass,1412.68
FR,2025,Gas,12787.69
FR,2025,Hard coal,1810.72
FR,2025,Oil & other fossil,2978.9
FR,2025,Geothermal,1.85
FR,2025,Hydro pumped (production),5060.78
FR,2025,Hydro run-of-river,11737.05
FR,2025,Hydro reservoir,8791.12
FR,2025,Marine,243.09
FR,2025,Nuclear,62990.0
FR,2025,Other,1022.96
FR,2025,Solar,22860.04
FR,2025,Waste,1062.74
FR,2025,Offshore wind,1028.2
FR,2025,Onshore wind,22907.07
IT,2019,Biomass,1538.0
IT,2019,Lignite,0.0
IT,2019,Gas,48134.0
IT,2019,Hard coal,4851.0
IT,2019,Oil & other fossil,1443.0
IT,2019,Geothermal,869.0
IT,2019,Hydro pumped (production),7574.0
IT,2019,Hydro run-of-river,10650.0
IT,2019,Hydro reservoir,3857.0
IT,2019,Marine,0.0
IT,2019,Other,991.0
IT,2019,Other renewable,0.0
IT,2019,Solar,4717.0
IT,2019,Waste,132.0
IT,2019,Offshore wind,0.0
IT,2019,Onshore wind,9617.0
IT,2020,Biomass,1549.0
IT,2020,Lignite,0.0
IT,2020,Gas,44287.0
IT,2020,Hard coal,7617.0
